,processed_variants,f_measure,fitness,precision,no_model_change,variant
0,0,0.6396738990425741,0.8262228245157015,0.5218482601254991,,
1,1,0.6516742451075277,0.8782834768190628,0.5180183716730784,False,"(('CAR', 'CAR', 'RAR', 'RAR', 'NCU', 'NCU', 'PVA', 'PVA', 'ATT', 'ATT', 'RCV', 'RCV', 'ASD', 'ASD', 'ERC', 'ERC', 'ARP', 'ARP', 'RPV', 'RPV', 'SIN', 'SIN', 'AVC', 'AVC', 'AVD', 'AVD'), <InfixType.NOT_AN_INFIX: 4>)"
2,2,0.6516742451075277,0.8782834768190628,0.5180183716730784,True,"(('CAR', 'CAR', 'RAR', 'RAR', 'NCU', 'NCU', 'PVA', 'PVA', 'ATT', 'ATT', 'RCV', 'RCV', 'ASD', 'ASD', 'ERC', 'ERC', 'ARP', 'ARP', 'RPV', 'RPV', 'SIN', 'SIN', 'AVC', 'AVC', 'APT', 'APT'), <InfixType.NOT_AN_INFIX: 4>)"
3,3,0.6487105544169713,0.906394252063214,0.5051100898552713,False,"(('CAR', 'CAR', 'RAR', 'RAR', 'NCU', 'NCU', 'PVA', 'PVA', 'RCV', 'RCV', 'ASD', 'ASD', 'ERC', 'ERC', 'ARP', 'ARP', 'RPV', 'RPV', 'AVC', 'AVC', 'SIN', 'SIN', 'AVD', 'AVD'), <InfixType.NOT_AN_INFIX: 4>)"
4,4,0.6487105544169713,0.906394252063214,0.5051100898552713,True,"(('CAR', 'CAR', 'RAR', 'RAR', 'NCU', 'NCU', 'PVA', 'PVA', 'RCV', 'RCV', 'ASD', 'ASD', 'ERC', 'ERC', 'ARP', 'ARP', 'RPV', 'RPV', 'AVC', 'AVC', 'SIN', 'SIN', 'APT', 'APT'), <InfixType.NOT_AN_INFIX: 4>)"
5,5,0.6487105544169713,0.906394252063214,0.5051100898552713,True,"(('CAR', 'CAR', 'RAR', 'RAR', 'NCU', 'NCU', 'PVA', 'PVA', 'RCV', 'RCV', 'ASD', 'ASD', 'ERC', 'ERC', 'ARP', 'ARP', 'RPV', 'RPV', 'SIN', 'SIN', 'AVC', 'AVC', 'AVD', 'AVD'), <InfixType.NOT_AN_INFIX: 4>)"
6,6,0.6387889906905848,0.9073732294537252,0.4928920008487163,False,"(('NCU', 'PVA', 'PVA', 'RCV', 'RCV', 'ASD', 'ASD', 'ERC', 'ERC', 'ARP', 'ARP', 'RPV', 'RPV', 'SIN'), <InfixType.NOT_AN_INFIX: 4>)"
7,7,0.6387889906905848,0.9073732294537252,0.4928920008487163,True,"(('CAR', 'CAR', 'RAR', 'RAR', 'NCU', 'NCU', 'PVA', 'PVA', 'ATT', 'ATT', 'RCV', 'RCV', 'ASD', 'ASD', 'ERC', 'ERC', 'ARP', 'ARP', 'RPV', 'RPV', 'AVC', 'AVC', 'SIN', 'SIN', 'APT', 'APT'), <InfixType.NOT_AN_INFIX: 4>)"
8,8,0.6115053216517443,0.9336900175336258,0.45462848196229366,False,"(('CAR', 'CAR', 'RAR', 'RAR', 'NCU', 'NCU'), <InfixType.NOT_AN_INFIX: 4>)"
9,9,0.6115053216517443,0.9336900175336258,0.45462848196229366,True,"(('NCU', 'PVA', 'PVA', 'RCV', 'RCV', 'ASD', 'ASD', 'ERC', 'ERC', 'ARP', 'ARP', 'RPV', 'RPV', 'AVC'), <InfixType.NOT_AN_INFIX: 4>)"
