,processed_variants,f_measure,fitness,precision,no_model_change,variant
0,0,0.9290563068212456,0.8675118148029225,1.0,,
1,1,0.9290563068212456,0.8675118148029225,1.0,True,"(('Create Fine',), <InfixType.PREFIX: 2>)"
2,2,0.9728345511391252,0.9471059917542958,1.0,False,"(('Create Fine', 'Send Fine'), <InfixType.NOT_AN_INFIX: 4>)"
3,3,0.9728345511391252,0.9471059917542958,1.0,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty'), <InfixType.PREFIX: 2>)"
4,4,0.9728345511391252,0.9471059917542958,1.0,True,"(('Send Fine', 'Insert Fine Notification', 'Add penalty'), <InfixType.PROPER_INFIX: 1>)"
5,5,0.9728345511391252,0.9471059917542958,1.0,True,"(('Payment',), <InfixType.POSTFIX: 3>)"
6,6,0.9728345511391252,0.9471059917542958,1.0,True,"(('Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection'), <InfixType.POSTFIX: 3>)"
7,7,0.8695828550533315,0.9821756794805866,0.7801495279394444,False,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment'), <InfixType.NOT_AN_INFIX: 4>)"
8,8,0.8695828550533315,0.9821756794805866,0.7801495279394444,True,"(('Send Fine',), <InfixType.POSTFIX: 3>)"
9,9,0.8717905114853444,0.9858609012805153,0.7813798792288412,False,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Payment'), <InfixType.NOT_AN_INFIX: 4>)"
10,10,0.8717905114853444,0.9858609012805153,0.7813798792288412,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Payment'), <InfixType.NOT_AN_INFIX: 4>)"
11,11,0.8717905114853444,0.9858609012805153,0.7813798792288412,True,"(('Create Fine', 'Send Fine', 'Payment'), <InfixType.NOT_AN_INFIX: 4>)"
12,12,0.8717905114853444,0.9858609012805153,0.7813798792288412,True,"(('Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment'), <InfixType.POSTFIX: 3>)"
13,13,0.7164829225383847,0.9960012849404719,0.5594723005426849,False,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture'), <InfixType.NOT_AN_INFIX: 4>)"
14,14,0.7164829225383847,0.9960012849404719,0.5594723005426849,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment'), <InfixType.PREFIX: 2>)"
15,15,0.7164829225383847,0.9960012849404719,0.5594723005426849,True,"(('Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment'), <InfixType.PROPER_INFIX: 1>)"
16,16,0.7164829225383847,0.9960012849404719,0.5594723005426849,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty'), <InfixType.PREFIX: 2>)"
17,17,0.7164829225383847,0.9960012849404719,0.5594723005426849,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Send for Credit Collection'), <InfixType.NOT_AN_INFIX: 4>)"
18,18,0.7164829225383847,0.9960012849404719,0.5594723005426849,True,"(('Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty'), <InfixType.PROPER_INFIX: 1>)"
